marca;preço
Notebook Lenovo Ideapad Gaming 3 R7-5800h AMD Ryzen 7 5800h, 16GB RAM, SSD 512GB, 15.6 Polegadas Full HD, Pcie Rtx 3060 6GB,Windows 11 Home - 82mj0003br;R$ 7.499,00
"Notebook Samsung Galaxy Book2 Intel Core I3-1215u, Windows 11 Home, 8GB, 256GB SSD, 15.6"" Full HD LED - Grafite";R$ 3.199,00
Cabo Adaptador Mini Display Port Macho X HDMI Fêmea, Cable;R$ 24,58
Fonte FY Para Notebook USB-C, 45W, 2.25A, Preto, Bivolt - BB20-BC45;R$ 122,30
Fonte De Alimentação Intelbras Ef 1203 12.8vdc 3a;R$ 88,25
Notebook Vaio FE15 Intel Core i3-1215U, 4GB RAM, SSD 256GB, 15.6 Full HD, Windows 11, Cinza Grafite - VJFE54F11X-B0521H;R$ 2.599,99
Notebook Acer Swift 3 Intel Core i5-1135G7 EVO, 16GB RAM, SSD 512GB, 14 Full HD, Windows 11 Home, Azul - SF314-511-56UR;R$ 4.499,99
Notebook Lenovo Ultrafino Ideapad Ryzen 5-5500U, 8GB, 256GB SSD, 15.6 Full HD, Linux, Cinza - 82MFS00100;R$ 2.999,99
Notebook Gamer Acer An515-57-52zq, IPS 144HZ, I5, 8GB, SSD 512GB, Tela 15.6, GTX 1650, Linux;R$ 4.463,07
Notebook Lenovo, Ideapad Gaming 3i I5-11300h, 8GB, 512GB, SSD Rtx 3050, 4GB, 15.6'' FHD, Wva, Linux - 82mgs00300;R$ 5.499,00
Notebook Ideapad Gaming 3i I5-11300h, 16GB, 512GB SSD, RTX 3050 4GB, 15.6 FHD Wva, Linux - 82mgs00400;R$ 5.191,12
Bateria Selada Elgin, P/ Nobreak, Vrla, 12v 4.5ah - 82312;R$ 72,06
Notebook Compaq Presario 435, Intel Core I3, Linux, 4GB, 240GB, SSD 14'' - Cinza;R$ 1.673,10
Notebook Vaio Intel Core i5 8GB 512GB SSD 15,6”;R$ 3.068,07
Fonte Exbom Flex Universal Regulável, Ac 3V, 4.5V, 6V, 7.5V, 9V, 12V, 3a, 3a, Com6 Plugues, 30W - FX-FU4;R$ 46,70
Notebook Lenovo V14, I7-1165G7, 8GB RAM, SSD 512GB, 14 Full HD, NVIDIA GeForce MX350, Windows 11 Pro, Preto - 82NM000RBR;R$ 5.335,08
"Notebook Positivo Motion Intel Atom - 4GB, 128GB eMMC, 14.1"" LED,  Windows 10";R$ 1.170,87
Notebook Gamer Acer Nitro 5 An517-54-56q0 Ci5, 8 GB RAM DDR4, Gtx 1650, 1TB HDD, 256GB SSD, Tela 17.3 Polegadas, Full HD, Windows 11 Home, Preto;R$ 5.129,05
Notebook Lenovo Ideapad 3i AMD Ryzen 5 8GB;R$ 2.649,57
Notebook Lenovo IdeaPad 3i Intel Core i5 8GB;R$ 2.969,10
Memória Notebook Kingston 4GB Ddr4 3200mhz - Kvr32s22s6/4;R$ 134,89
Notebook Vaio Fe15 Intel Core I5-1135g7, 16GB RAM, SSD 512GB, 15.6 Full HD, Linux - Cinza Grafite;R$ 3.419,10
Notebook Gamer Predator Helios 300 Ph315-54-70lh I7 11ª Windows 11 Home 16gb 512gb Ssd Rtx 3070 15,6;R$ 9.299,00
